BTBEntries,globalPred_size,choicePred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,16,27643935,24658687,2985248,13765686,55.824894,44.175106,6.492340458,27643935,14533096,10117984,36.601099,13110839,52.57245758,47.42754242
16,16,512,27643935,24128291,3515644,13582577,56.293158,43.706842,6.392007708,27643935,14350931,9933078,35.932214,13293004,51.91348844,48.08651156
16,16,1024,27643935,24059557,3584378,13583452,56.457615,43.542385,6.392953008,27643935,14351802,9934820,35.938516,13292133,51.91663922,48.08336078
16,16,8192,27643935,23907904,3736031,13582158,56.810325,43.189675,6.392420208,27643935,14350503,9933838,35.934964,13293432,51.91194018,48.08805982
16,16,32768,27643935,23908198,3735737,13582158,56.809627,43.190373,6.392420208,27643935,14350502,9933838,35.934964,13293433,51.91193656,48.08806344
16,512,16,27643935,23933622,3710313,13130907,54.863852,45.136148,6.215472558,27643935,13898025,9607736,34.755313,13745910,50.27513268,49.72486732
16,512,512,27643935,24124682,3519253,13132401,54.43554,45.56446,6.214633008,27643935,13899920,9606189,34.749716,13744015,50.28198771,49.71801229
16,512,1024,27643935,23908847,3735088,13132114,54.925752,45.074248,6.214652658,27643935,13899753,9606225,34.749847,13744182,50.2813836,49.7186164
16,512,8192,27643935,23719104,3924831,13131536,55.362698,44.637302,6.214408458,27643935,13899156,9605775,34.748219,13744779,50.279224,49.720776
16,512,32768,27643935,23720284,3923651,13131435,55.359518,44.640482,6.214419258,27643935,13899050,9605795,34.748291,13744885,50.27884055,49.72115945
16,1024,16,27643935,23611094,4032841,13095408,55.462945,44.537055,6.178349508,27643935,13862370,9539321,34.507826,13781565,50.14615322,49.85384678
16,1024,512,27643935,24172325,3471610,13097786,54.185048,45.814952,6.176759658,27643935,13864916,9536391,34.497227,13779019,50.15536319,49.84463681
16,1024,1024,27643935,24089875,3554060,13097519,54.369394,45.630606,6.176669058,27643935,13864606,9536224,34.496623,13779329,50.15424179,49.84575821
16,1024,8192,27643935,23614137,4029798,13096345,55.459765,44.540235,6.176648958,27643935,13863606,9536187,34.496489,13780329,50.15062436,49.84937564
16,1024,32768,27643935,23858235,3785700,13096276,54.892057,45.107943,6.176658708,27643935,13863539,9536205,34.496554,13780396,50.15038199,49.84961801
16,8192,16,27643935,23042213,4601722,13048553,56.628905,43.371095,6.120538308,27643935,13815347,9432779,34.122418,13828588,49.9760508,50.0239492
16,8192,512,27643935,22969889,4674046,13048603,56.807427,43.192573,6.119913708,27643935,13815257,9431628,34.118254,13828678,49.97572524,50.02427476
16,8192,1024,27643935,22925133,4718802,13048794,56.919164,43.080836,6.119958708,27643935,13815390,9431711,34.118554,13828545,49.97620635,50.02379365
16,8192,8192,27643935,22882995,4760940,13048768,57.023864,42.976136,6.120058008,27643935,13815339,9431894,34.119216,13828596,49.97602187,50.02397813
16,8192,32768,27643935,22890766,4753169,13048751,57.004431,42.995569,6.120067758,27643935,13815311,9431912,34.119281,13828624,49.97592058,50.02407942
16,32768,16,27643935,22564006,5079929,13030159,57.747543,42.252457,6.104561058,27643935,13796552,9403334,34.015903,13847383,49.90806121,50.09193879
16,32768,512,27643935,22609312,5034623,13029854,57.630475,42.369525,6.104604408,27643935,13796302,9403414,34.016192,13847633,49.90715685,50.09284315
16,32768,1024,27643935,22580531,5063404,13029342,57.701663,42.298337,6.104668458,27643935,13795758,9403532,34.016619,13848177,49.90518897,50.09481103
16,32768,8192,27643935,22508159,5135776,13029239,57.886738,42.113262,6.104473158,27643935,13795636,9403172,34.015317,13848299,49.90474764,50.09525236
16,32768,32768,27643935,22512193,5131742,13029237,57.876356,42.123644,6.104474208,27643935,13795624,9403174,34.015324,13848311,49.90470423,50.09529577
128,16,16,27643935,22497672,5146263,21666515,96.305587,3.694413,3.718866858,27643935,22433001,5006669,18.111275,5210934,81.14981098,18.85018902
128,16,512,27643935,21630042,6013893,20831027,96.305994,3.694006,3.058612908,27643935,21599303,3789868,13.709582,6044632,78.13396682,21.86603318
128,16,1024,27643935,21453053,6190882,20830805,97.09949,2.90051,3.068045208,27643935,21599074,3807251,13.772464,6044861,78.13313843,21.86686157
128,16,8192,27643935,21152914,6491021,20831327,98.479704,1.520296,3.068199258,27643935,21599596,3807535,13.773491,6044339,78.13502672,21.86497328
128,16,32768,27643935,21152534,6491401,20831355,98.481605,1.518395,3.068211258,27643935,21599619,3807557,13.773571,6044316,78.13510993,21.86489007
128,512,16,27643935,20869193,6774742,20191108,96.750785,3.249215,2.716465758,27643935,20957370,3159315,11.428601,6686565,75.81181912,24.18818088
128,512,512,27643935,20977509,6666426,20210551,96.343903,3.656097,2.670670758,27643935,20977295,3074918,11.123301,6666640,75.88389641,24.11610359
128,512,1024,27643935,20843931,6800004,20210303,96.960132,3.039868,2.670763008,27643935,20977033,3075088,11.123916,6666902,75.88294865,24.11705135
128,512,8192,27643935,20528416,7115519,20210374,98.450723,1.549277,2.670843258,27643935,20977092,3075236,11.124451,6666843,75.88316208,24.11683792
128,512,32768,27643935,20527586,7116349,20210548,98.455551,1.544449,2.670976158,27643935,20977261,3075481,11.125337,6666674,75.88377342,24.11622658
128,1024,16,27643935,20802278,6841657,20166104,96.941806,3.058194,2.648398608,27643935,20932676,3033872,10.97482,6711259,75.7224903,24.2775097
128,1024,512,27643935,20927090,6716845,20172087,96.392222,3.607778,2.613633708,27643935,20938919,2969803,10.743054,6705016,75.74507392,24.25492608
128,1024,1024,27643935,20857518,6786417,20172262,96.714585,3.285415,2.613346158,27643935,20939059,2969273,10.741137,6704876,75.74558036,24.25441964
128,1024,8192,27643935,20691967,6951968,20170975,97.482153,2.517847,2.613410808,27643935,20937962,2969392,10.741568,6705973,75.74161204,24.25838796
128,1024,32768,27643935,20684376,6959559,20171122,97.518639,2.481361,2.613542658,27643935,20938110,2969635,10.742447,6705825,75.74214742,24.25785258
128,8192,16,27643935,20418315,7225620,20101706,98.449387,1.550613,2.553469158,27643935,20868019,2858924,10.341957,6775916,75.48859813,24.51140187
128,8192,512,27643935,20269637,7374298,20111023,99.21748,0.78252,2.537611908,27643935,20877501,2829700,10.236242,6766434,75.5228986,24.4771014
128,8192,1024,27643935,20280226,7363709,20110877,99.164955,0.835045,2.537519058,27643935,20877324,2829529,10.235623,6766611,75.52225832,24.47774168
128,8192,8192,27643935,20348421,7295514,20110559,98.831054,1.168946,2.537624958,27643935,20876953,2829724,10.236329,6766982,75.52091625,24.47908375
128,8192,32768,27643935,20348195,7295740,20110496,98.831842,1.168158,2.537632458,27643935,20876880,2829738,10.236379,6767055,75.52065218,24.47934782
