BTBEntries,globalPred_size,choicePred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,16,97499524,83643484,13856040,24551444,29.352488,70.647512,7.459784836,97499524,29954040,35115519,36.016093,67545484,30.7222423,69.2777577
16,16,512,97499524,82366692,15132832,24336015,29.545942,70.454058,7.413701986,97499524,29746276,34815982,35.708874,67753248,30.50914997,69.49085003
16,16,1024,97499524,82348641,15150883,24335835,29.5522,70.4478,7.413636886,97499524,29746086,34815559,35.70844,67753438,30.5089551,69.4910449
16,16,8192,97499524,82438692,15060832,24335796,29.519872,70.480128,7.413633586,97499524,29746044,34815538,35.708418,67753480,30.50891202,69.49108798
16,16,32768,97499524,82438692,15060832,24335796,29.519872,70.480128,7.413633586,97499524,29746044,34815538,35.708418,67753480,30.50891202,69.49108798
16,512,16,97499524,69701469,27798055,23828869,34.18704,65.81296,7.375024036,97499524,29221718,34564577,35.451021,68277806,29.97113914,70.02886086
16,512,512,97499524,63511371,33988153,23787127,37.453336,62.546664,7.357558786,97499524,29197222,34451053,35.334586,68302302,29.94601492,70.05398508
16,512,1024,97499524,63506833,33992691,23714483,37.341624,62.658376,7.358050786,97499524,29124544,34454251,35.337866,68374980,29.87147301,70.12852699
16,512,8192,97499524,65507113,31992411,23714389,36.201243,63.798757,7.358123386,97499524,29124470,34454723,35.33835,68375054,29.87139712,70.12860288
16,512,32768,97499524,65772907,31726617,23712004,36.051324,63.948676,7.358487286,97499524,29122082,34457088,35.340776,68377442,29.86894787,70.13105213
16,1024,16,97499524,64187030,33312494,23761975,37.019901,62.980099,7.356225286,97499524,29150222,34442385,35.325696,68349302,29.89780955,70.10219045
16,1024,512,97499524,61786446,35713078,23716592,38.384781,61.615219,7.344303736,97499524,29127522,34364896,35.246219,68372002,29.87452739,70.12547261
16,1024,1024,97499524,59731950,37767574,23644386,39.584152,60.415848,7.344691636,97499524,29055303,34367417,35.248805,68444221,29.80045626,70.19954374
16,1024,8192,97499524,60227210,37272314,23642245,39.255089,60.744911,7.343705536,97499524,29053363,34361007,35.242231,68446161,29.7984665,70.2015335
16,1024,32768,97499524,61017235,36482289,23642106,38.746603,61.253397,7.343684836,97499524,29053231,34360873,35.242093,68446293,29.79833112,70.20166888
16,8192,16,97499524,58388344,39111180,23626473,40.464366,59.535634,7.320933586,97499524,29033178,34212991,35.090418,68466346,29.77776384,70.22223616
16,8192,512,97499524,57595846,39903678,23609895,40.992357,59.007643,7.317279136,97499524,29024292,34189237,35.066055,68475232,29.76864995,70.23135005
16,8192,1024,97499524,57411166,40088358,23537319,40.997807,59.002193,7.317674086,97499524,28951659,34191804,35.068688,68547865,29.6941542,70.3058458
16,8192,8192,97499524,57344535,40154989,23536930,41.044766,58.955234,7.317712636,97499524,28951297,34192054,35.068945,68548227,29.69378292,70.30621708
16,8192,32768,97499524,57345306,40154218,23536934,41.044221,58.955779,7.317712036,97499524,28951300,34192051,35.068941,68548224,29.69378599,70.30621401
16,32768,16,97499524,57016939,40482585,23397263,41.035635,58.964365,7.291654936,97499524,28810458,34022680,34.895227,68689066,29.54933195,70.45066805
16,32768,512,97499524,56924008,40575516,23403829,41.114162,58.885838,7.290252886,97499524,28819110,34013567,34.88588,68680414,29.55820584,70.44179416
16,32768,1024,97499524,56955191,40544333,23440963,41.156851,58.843149,7.288351186,97499524,28856212,34001206,34.873202,68643312,29.59625936,70.40374064
16,32768,8192,97499524,56894027,40605497,23441654,41.202311,58.797689,7.288332436,97499524,28856916,34001084,34.873077,68642608,29.59698142,70.40301858
16,32768,32768,97499524,56894225,40605299,23441660,41.202178,58.797822,7.288333036,97499524,28856920,34001088,34.873081,68642604,29.59698552,70.40301448
128,16,16,97499524,76474196,21025328,46574037,60.901637,39.098363,4.470027586,97499524,51978385,15682192,16.084378,45521139,53.31142437,46.68857563
128,16,512,97499524,74867927,22631597,47380057,63.284852,36.715148,4.347473986,97499524,52783059,14885597,15.267354,44716465,54.13673507,45.86326493
128,16,1024,97499524,74846303,22653221,47381098,63.304527,36.695473,4.347358936,97499524,52784090,14884850,15.266587,44715434,54.13779251,45.86220749
128,16,8192,97499524,75586379,21913145,47378202,62.680873,37.319127,4.345953736,97499524,52787596,14875716,15.257219,44711928,54.14138842,45.85861158
