BTBEntries,globalPred_size,choicePred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,16,11572148,10747881,824267,9397583,87.436612,12.563388,3.279897378,11572148,9422008,1758746,15.198095,2150140,81.4196984,18.5803016
16,16,512,11572148,10563847,1008301,9212075,87.20379,12.79621,3.224147028,11572148,9236519,1715736,14.826426,2335629,79.8168067,20.1831933
16,16,1024,11572148,10563849,1008299,9212072,87.203746,12.796254,3.224148378,11572148,9236517,1715737,14.826435,2335631,79.81678942,20.18321058
16,16,8192,11572148,9787882,1784266,8863945,90.560399,9.439601,3.280421028,11572148,8888388,1759150,15.201586,2683760,76.80845423,23.19154577
16,16,32768,11572148,9787882,1784266,8863945,90.560399,9.439601,3.280421028,11572148,8888388,1759150,15.201586,2683760,76.80845423,23.19154577
16,512,16,11572148,9900166,1671982,8763945,88.523213,11.476787,2.613575028,11572148,8787832,1244694,10.755946,2784316,75.93950579,24.06049421
16,512,512,11572148,9863673,1708475,8763263,88.843811,11.156189,2.613769428,11572148,8787524,1244844,10.757242,2784624,75.93684422,24.06315578
16,512,1024,11572148,9780918,1791230,8763227,89.595138,10.404862,2.609558028,11572148,8787484,1241595,10.729166,2784664,75.93649857,24.06350143
16,512,8192,11572148,9776355,1795793,8751295,89.514906,10.485094,2.627283828,11572148,8775550,1255270,10.847338,2796598,75.83337164,24.16662836
16,512,32768,11572148,9776356,1795792,8751290,89.514846,10.485154,2.627287728,11572148,8775547,1255273,10.847364,2796601,75.83334572,24.16665428
16,1024,16,11572148,9794856,1777292,8700762,88.829912,11.170088,2.561796378,11572148,8724637,1204748,10.410755,2847511,75.39341011,24.60658989
16,1024,512,11572148,9765738,1806410,8700644,89.093564,10.906436,2.561380278,11572148,8724892,1204427,10.407981,2847256,75.39561368,24.60438632
16,1024,1024,11572148,9682997,1889151,8700209,89.850374,10.149626,2.561949378,11572148,8724452,1204866,10.411775,2847696,75.39181144,24.60818856
16,1024,8192,11572148,9682616,1889532,8700258,89.854415,10.145585,2.561883228,11572148,8724495,1204815,10.411334,2847653,75.39218302,24.60781698
16,1024,32768,11572148,9682595,1889553,8700254,89.854569,10.145431,2.561888478,11572148,8724491,1204819,10.411369,2847657,75.39214846,24.60785154
16,8192,16,11572148,9493113,2079035,8653272,91.153155,8.846845,2.397679878,11572148,8677502,1078136,9.316645,2894646,74.98609593,25.01390407
16,8192,512,11572148,9491660,2080488,8653234,91.166708,8.833292,2.397717528,11572148,8677440,1078165,9.316896,2894708,74.98556016,25.01443984
16,8192,1024,11572148,9491213,2080935,8653225,91.170907,8.829093,2.397730428,11572148,8677422,1078175,9.316982,2894726,74.98540461,25.01459539
16,8192,8192,11572148,9488283,2083865,8653215,91.198956,8.801044,2.397742128,11572148,8677403,1078184,9.31706,2894745,74.98524042,25.01475958
16,8192,32768,11572148,9488264,2083884,8653212,91.199107,8.800893,2.397746028,11572148,8677400,1078187,9.317086,2894748,74.9852145,25.0147855
16,32768,16,11572148,9492750,2079398,8650969,91.13238,8.86762,2.371882728,11572148,8675191,1058234,9.144664,2896957,74.96612556,25.03387444
16,32768,512,11572148,9490899,2081249,8650943,91.149879,8.850121,2.371911228,11572148,8675142,1058256,9.144854,2897006,74.96570213,25.03429787
16,32768,1024,11572148,9490448,2081700,8650932,91.154095,8.845905,2.371919028,11572148,8675122,1058262,9.144906,2897026,74.9655293,25.0344707
16,32768,8192,11572148,9487924,2084224,8650927,91.178291,8.821709,2.371925478,11572148,8675109,1058267,9.144949,2897039,74.96541696,25.03458304
16,32768,32768,11572148,9487914,2084234,8650925,91.178366,8.821634,2.371928028,11572148,8675107,1058269,9.144966,2897041,74.96539968,25.03460032
128,16,16,11572148,9459051,2113097,9354384,98.893473,1.106527,2.731846878,11572148,9378800,1335938,11.544425,2193348,81.04631914,18.95368086
128,16,512,11572148,9296464,2275684,9195571,98.914716,1.085284,2.593763628,11572148,9218872,1229410,10.62387,2353276,79.66431124,20.33568876
128,16,1024,11572148,9296462,2275686,9195565,98.914673,1.085327,2.593777878,11572148,9218866,1229421,10.623965,2353282,79.66425939,20.33574061
128,16,8192,11572148,9277604,2294544,9173995,98.883235,1.116765,2.622393228,11572148,9197299,1251497,10.814734,2374849,79.4778895,20.5221105
128,16,32768,11572148,9277604,2294544,9173995,98.883235,1.116765,2.622393228,11572148,9197299,1251497,10.814734,2374849,79.4778895,20.5221105
128,512,16,11572148,9535271,2036877,9468614,99.300943,0.699057,1.712829528,11572148,9492514,549790,4.750976,2079634,82.02897163,17.97102837
128,512,512,11572148,9529646,2042502,9471657,99.391488,0.608512,1.717805778,11572148,9495918,553629,4.784151,2076230,82.05838709,17.94161291
128,512,1024,11572148,9530426,2041722,9472434,99.391507,0.608493,1.712536578,11572148,9496691,549564,4.749023,2075457,82.06506692,17.93493308
128,512,8192,11572148,9522612,2049536,9461303,99.356175,0.643825,1.729226628,11572148,9485558,562440,4.86029,2086590,81.96886179,18.03113821
128,512,32768,11572148,9522615,2049533,9461298,99.356091,0.643909,1.729227978,11572148,9485555,562441,4.860299,2086593,81.96883586,18.03116414
128,1024,16,11572148,9476216,2095932,9408233,99.282593,0.717407,1.661626428,11572148,9432107,510288,4.409622,2140041,81.50696828,18.49303172
128,1024,512,11572148,9461291,2110857,9409392,99.45146,0.54854,1.666488528,11572148,9433640,514039,4.442036,2138508,81.52021561,18.47978439
128,1024,1024,11572148,9461263,2110885,9409771,99.45576,0.54424,1.665995928,11572148,9434014,513659,4.438752,2138134,81.52344751,18.47655249
128,1024,8192,11572148,9460886,2111262,9408985,99.451415,0.548585,1.665962328,11572148,9433222,513633,4.438528,2138926,81.51660349,18.48339651
128,1024,32768,11572148,9460867,2111281,9408977,99.45153,0.54847,1.665970128,11572148,9433214,513639,4.43858,2138934,81.51653435,18.48346565
128,8192,16,11572148,9380921,2191227,9333979,99.499601,0.500399,1.506713178,11572148,9358209,390776,3.376867,2213939,80.86838329,19.13161671
128,8192,512,11572148,9411668,2160480,9365610,99.510629,0.489371,1.498025928,11572148,9389816,384074,3.318952,2182332,81.14151323,18.85848677
128,8192,1024,11572148,9411223,2160925,9365583,99.515047,0.484953,1.498073778,11572148,9389780,384111,3.319271,2182368,81.14120213,18.85879787
128,8192,8192,11572148,9408293,2163855,9365539,99.545571,0.454429,1.498133478,11572148,9389727,384157,3.319669,2182421,81.14074414,18.85925586
128,8192,32768,11572148,9408274,2163874,9365532,99.545698,0.454302,1.498142478,11572148,9389720,384164,3.319729,2182428,81.14068365,18.85931635
128,32768,16,11572148,9380553,2191595,9332433,99.487024,0.512976,1.477807578,11572148,9356655,368476,3.184163,2215493,80.8549545,19.1450455
128,32768,512,11572148,9412037,2160111,9365189,99.502254,0.497746,1.467987378,11572148,9389388,360900,3.118695,2182760,81.13781469,18.86218531
128,32768,1024,11572148,9411583,2160565,9365155,99.506693,0.493307,1.468036578,11572148,9389345,360938,3.119023,2182803,81.13744311,18.86255689
128,32768,8192,11572148,9409059,2163089,9365116,99.532971,0.467029,1.468096278,11572148,9389298,360984,3.119421,2182850,81.13703696,18.86296304
128,32768,32768,11572148,9409049,2163099,9365110,99.533013,0.466987,1.468104078,11572148,9389292,360990,3.119473,2182856,81.13698511,18.86301489
1024,16,16,11572148,9454811,2117337,9386199,99.274317,0.725683,2.688515778,11572148,9410190,1302509,11.255551,2161958,81.31757389,18.68242611
1024,16,512,11572148,9287032,2285116,9229855,99.384335,0.615665,2.552309478,11572148,9253104,1197429,10.347509,2319044,79.96012495,20.03987505
1024,16,1024,11572148,9287031,2285117,9229846,99.384249,0.615751,2.552328828,11572148,9253095,1197444,10.347638,2319053,79.96004718,20.03995282
1024,16,8192,11572148,9268834,2303314,9208980,99.354245,0.645755,2.581247478,11572148,9231896,1219754,10.540429,2340252,79.77685733,20.22314267
1024,16,32768,11572148,9268834,2303314,9208980,99.354245,0.645755,2.581247478,11572148,9231896,1219754,10.540429,2340252,79.77685733,20.22314267
1024,512,16,11572148,9533698,2038450,9504945,99.698407,0.301593,1.667178078,11572148,9528843,514571,4.446633,2043305,82.34290643,17.65709357
1024,512,512,11572148,9528830,2043318,9507968,99.781064,0.218936,1.671069378,11572148,9532229,517573,4.472575,2039919,82.37216634,17.62783366
1024,512,1024,11572148,9529200,2042948,9508744,99.785334,0.214666,1.665818478,11572148,9533000,513522,4.437569,2039148,82.37882889,17.62117111
1024,512,8192,11572148,9521388,2050760,9497613,99.750299,0.249701,1.682511078,11572148,9521867,526400,4.548853,2050281,82.28262376,17.71737624
1024,512,32768,11572148,9521390,2050758,9497608,99.750226,0.249774,1.682512428,11572148,9521864,526401,4.548862,2050284,82.28259784,17.71740216
1024,1024,16,11572148,9473855,2098293,9443712,99.68183,0.31817,1.615481178,11572148,9467584,474688,4.101987,2104564,81.81354058,18.18645942
1024,1024,512,11572148,9460065,2112083,9445641,99.847527,0.152473,1.619867628,11572148,9469889,478072,4.13123,2102259,81.8334591,18.1665409
1024,1024,1024,11572148,9460037,2112111,9446428,99.856142,0.143858,1.619907678,11572148,9470670,478103,4.131497,2101478,81.84020806,18.15979194
1024,1024,8192,11572148,9459661,2112487,9445630,99.851675,0.148325,1.619892228,11572148,9469866,478091,4.131394,2102282,81.83326034,18.16673966
1024,1024,32768,11572148,9459643,2112505,9445621,99.85177,0.14823,1.619901228,11572148,9469857,478098,4.131454,2102291,81.83318257,18.16681743
1024,8192,16,11572148,9379694,2192454,9369001,99.885998,0.114002,1.458464028,11572148,9393231,353553,3.055206,2178917,81.17102374,18.82897626
1024,8192,512,11572148,9410423,2161725,9400981,99.899664,0.100336,1.449327078,11572148,9425187,346504,2.994293,2146961,81.44716953,18.55283047
1024,8192,1024,11572148,9409978,2162170,9400944,99.903996,0.096004,1.449393228,11572148,9425141,346555,2.994734,2147007,81.44677203,18.55322797
1024,8192,8192,11572148,9407048,2165100,9400893,99.93457,0.06543,1.449456678,11572148,9425081,346604,2.995157,2147067,81.44625354,18.55374646
1024,8192,32768,11572148,9407028,2165120,9400881,99.934655,0.065345,1.449469578,11572148,9425069,346614,2.995243,2147079,81.44614984,18.55385016
1024,32768,16,11572148,9379326,2192822,9368661,99.886292,0.113708,1.427982228,11572148,9392883,330037,2.851994,2179265,81.16801652,18.83198348
1024,32768,512,11572148,9410789,2161359,9401355,99.899753,0.100247,1.418247678,11572148,9425554,322527,2.787097,2146594,81.45034094,18.54965906
1024,32768,1024,11572148,9410335,2161813,9401313,99.904127,0.095873,1.418311278,11572148,9425503,322576,2.787521,2146645,81.44990023,18.55009977
1024,32768,8192,11572148,9407811,2164337,9401264,99.930409,0.069591,1.418378628,11572148,9425446,322628,2.78797,2146702,81.44940766,18.55059234
1024,32768,32768,11572148,9407801,2164347,9401254,99.930409,0.069591,1.418391528,11572148,9425436,322638,2.788056,2146712,81.44932125,18.55067875
