BTBEntries,globalPred_size,choicePred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,16,69585502,65102757,4482745,31578762,48.506029,51.493971,8.071295192,69585502,34331336,26275110,37.75946,35254166,49.33690929,50.66309071
16,16,512,69585502,63793976,5791526,31040351,48.657182,51.342818,8.011586042,69585502,33831902,25998117,37.361399,35753600,48.6191822,51.3808178
16,16,1024,69585502,63172483,6413019,30976460,49.034736,50.965264,8.009513342,69585502,33768607,25988502,37.347581,35816895,48.52822216,51.47177784
16,16,8192,69585502,60829159,8756343,30835142,50.691383,49.308617,7.997634392,69585502,33630567,25933395,37.268388,35954935,48.3298475,51.6701525
16,16,32768,69585502,60482147,9103355,30822234,50.960879,49.039121,7.997799692,69585502,33617567,25934162,37.26949,35967935,48.31116545,51.68883455
16,512,16,69585502,63722013,5863489,30675271,48.139206,51.860794,7.944196142,69585502,33447890,25685493,36.912133,36137612,48.06732586,51.93267414
16,512,512,69585502,62523803,7061699,30372061,48.576797,51.423203,7.878846992,69585502,33162778,25382336,36.476472,36422724,47.65759684,52.34240316
16,512,1024,69585502,62302716,7282786,30367574,48.741975,51.258025,7.878914492,69585502,33160865,25382649,36.476922,36424637,47.6548477,52.3451523
16,512,8192,69585502,61533582,8051920,30288489,49.222698,50.777302,7.868961242,69585502,33083342,25336476,36.410567,36502160,47.54344087,52.45655913
16,512,32768,69585502,61407219,8178283,30280900,49.311629,50.688371,7.868350592,69585502,33075680,25333643,36.406496,36509822,47.53242996,52.46757004
16,1024,16,69585502,63275963,6309539,30390132,48.027925,51.972075,7.886080742,69585502,33161524,25415894,36.524697,36423978,47.65579474,52.34420526
16,1024,512,69585502,62144754,7440748,30174300,48.554863,51.445137,7.834265192,69585502,32965030,25175520,36.17926,36620472,47.37341695,52.62658305
16,1024,1024,69585502,61708656,7876846,30152341,48.862417,51.137583,7.830783992,69585502,32945153,25159370,36.156052,36640349,47.34485209,52.65514791
16,1024,8192,69585502,60859854,8725648,30107636,49.470437,50.529563,7.825289942,69585502,32901491,25133883,36.119425,36684011,47.28210626,52.71789374
16,1024,32768,69585502,60670486,8915016,30102869,49.61699,50.38301,7.825386092,69585502,32896595,25134329,36.120066,36688907,47.27507032,52.72492968
16,8192,16,69585502,60411823,9173679,29644474,49.07065,50.92935,7.717405142,69585502,32433877,24633402,35.400193,37151625,46.61010709,53.38989291
16,8192,512,69585502,59703904,9881598,29601108,49.579853,50.420147,7.701242342,69585502,32397202,24558422,35.292441,37188300,46.55740214,53.44259786
16,8192,1024,69585502,58956050,10629452,29598141,50.203738,49.796262,7.700625842,69585502,32394611,24555562,35.288331,37190891,46.55367867,53.44632133
16,8192,8192,69585502,57231947,12353555,29593960,51.708812,48.291188,7.699491092,69585502,32390698,24550298,35.280766,37194804,46.54805537,53.45194463
16,8192,32768,69585502,56813986,12771516,29592885,52.087324,47.912676,7.698847592,69585502,32389725,24547313,35.276476,37195777,46.54665709,53.45334291
16,32768,16,69585502,57358948,12226554,29376088,51.214482,48.785518,7.644282392,69585502,32169904,24294183,34.912708,37415598,46.23075652,53.76924348
16,32768,512,69585502,57249406,12336096,29368692,51.299558,48.700442,7.636902842,69585502,32166589,24259949,34.863511,37418913,46.22599259,53.77400741
16,32768,1024,69585502,56883709,12701793,29368432,51.628898,48.371102,7.636660292,69585502,32166411,24258824,34.861894,37419091,46.22573679,53.77426321
16,32768,8192,69585502,55452623,14132879,29367292,52.959248,47.040752,7.635953042,69585502,32165500,24255543,34.857179,37420002,46.22442761,53.77557239
16,32768,32768,69585502,55282894,14302608,29367562,53.122331,46.877669,7.635952592,69585502,32165795,24255541,34.857176,37419707,46.22485155,53.77514845
128,16,16,69585502,63316949,6268553,42395217,66.957138,33.042862,6.474968792,69585502,45091983,18869698,27.117284,24493519,64.80083021,35.19916979
128,16,512,69585502,60966050,8619452,41301630,67.745294,32.254706,6.286101242,69585502,44071253,17993535,25.858167,25514249,63.33395856,36.66604144
128,16,1024,69585502,60219367,9366135,41207250,68.428567,31.571433,6.279260492,69585502,43982123,17961801,25.812562,25603379,63.20587153,36.79412847
128,16,8192,69585502,57996227,11589275,41062789,70.802518,29.197482,6.261443492,69585502,43845451,17879147,25.693782,25740051,63.0094628,36.9905372
128,16,32768,69585502,57664196,11921306,41059508,71.20451,28.79549,6.260920742,69585502,43842187,17876722,25.690297,25743315,63.00477217,36.99522783
128,512,16,69585502,61030602,8554900,40946976,67.092532,32.907468,6.222004892,69585502,43680454,17696190,25.430858,25905048,62.77234876,37.22765124
128,512,512,69585502,58954850,10630652,40437438,68.59052,31.40948,6.054642542,69585502,43215845,16919791,24.315109,26369657,62.10466801,37.89533199
128,512,1024,69585502,58381348,11204154,40395235,69.192022,30.807978,6.046986692,69585502,43179211,16884275,24.26407,26406291,62.05202199,37.94797801
128,512,8192,69585502,56877910,12707592,40291075,70.837826,29.162174,6.032737142,69585502,43079530,16818171,24.169073,26505972,61.90877232,38.09122768
128,512,32768,69585502,56608123,12977379,40292006,71.177075,28.822925,6.032840042,69585502,43080235,16818648,24.169759,26505267,61.90978546,38.09021454
128,1024,16,69585502,60090373,9495129,40507336,67.410692,32.589308,6.110654342,69585502,43241906,17179631,24.688521,26343596,62.14211978,37.85788022
128,1024,512,69585502,58144108,11441394,40106803,68.978275,31.021725,5.967013142,69585502,42884074,16513275,23.730913,26701428,61.62788622,38.37211378
128,1024,1024,69585502,57503822,12081680,40067961,69.678779,30.321221,5.954949392,69585502,42850342,16457311,23.650488,26735160,61.57941061,38.42058939
128,1024,8192,69585502,56388460,13197042,40006286,70.947648,29.052352,5.950659092,69585502,42791628,16437408,23.621886,26793874,61.49503384,38.50496616
128,1024,32768,69585502,56186589,13398913,40004855,71.200006,28.799994,5.949684992,69585502,42790043,16432889,23.615392,26795459,61.49275606,38.50724394
128,8192,16,69585502,57019585,12565917,39453803,69.193424,30.806576,5.768923592,69585502,42227657,15594331,22.410316,27357845,60.68456185,39.31543815
128,8192,512,69585502,55563231,14022271,39368087,70.852768,29.147232,5.715662342,69585502,42156144,15347250,22.055241,27429358,60.58179188,39.41820812
128,8192,1024,69585502,54774086,14811416,39367202,71.871947,28.128053,5.712104642,69585502,42155994,15330746,22.031523,27429508,60.58157632,39.41842368
