BTBEntries,localPred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,38082430,34568020,3514410,21268378,61.526168,38.473832,6.104367858,38082430,22010868,12656668,33.234927,16071562,57.7979609,42.2020391
16,32,38082430,33733492,4348938,20637901,61.179261,38.820739,5.892419358,38082430,21376390,12118567,31.821937,16706040,56.131896,43.868104
16,64,38082430,34196978,3885452,20662275,60.421348,39.578652,5.869864158,38082430,21404915,12061303,31.671569,16677515,56.2067993,43.7932007
16,128,38082430,34097182,3985248,20645001,60.547529,39.452471,5.867426358,38082430,21387693,12055114,31.655317,16694737,56.16157635,43.83842365
16,256,38082430,33932366,4150064,20631466,60.801731,39.198269,5.862303108,38082430,21374129,12042107,31.621162,16708301,56.12595887,43.87404113
16,512,38082430,33293366,4789064,20623020,61.943331,38.056669,5.859560208,38082430,21365562,12035143,31.602876,16716868,56.10346294,43.89653706
16,1024,38082430,33133774,4948656,20616745,62.222749,37.777251,5.859581358,38082430,21359248,12035197,31.603017,16723182,56.08688311,43.91311689
16,2048,38082430,33103435,4978995,20616025,62.2776,37.7224,5.859541608,38082430,21358609,12035096,31.602752,16723821,56.08520517,43.91479483
16,8192,38082430,32555569,5526861,20615893,63.325242,36.674758,5.859542058,38082430,21358458,12035097,31.602755,16723972,56.08480866,43.91519134
16,32768,38082430,32326194,5756236,20615850,63.774442,36.225558,5.859549858,38082430,21358408,12035117,31.602807,16724022,56.08467737,43.91532263
32,16,38082430,34020648,4061782,27800795,81.717418,18.282582,3.918428358,38082430,28541687,7106942,18.661997,9540743,74.94712654,25.05287346
32,32,38082430,33304662,4777768,27137035,81.48119,18.51881,3.673465008,38082430,27872249,6485022,17.028908,10210181,73.18926077,26.81073923
32,64,38082430,33524990,4557440,26825424,80.016203,19.983797,3.561426708,38082430,27567871,6200576,16.281986,10514559,72.3899998,27.6100002
32,128,38082430,33308905,4773525,26776772,80.389229,19.610771,3.553629858,38082430,27519463,6180781,16.230007,10562967,72.26288606,27.73711394
32,256,38082430,33175548,4906882,26760085,80.662074,19.337926,3.546508008,38082430,27502747,6162700,16.182528,10579683,72.2189918,27.7810082
32,512,38082430,32540652,5541778,26750624,82.206786,17.793214,3.543173058,38082430,27493166,6154233,16.160295,10589264,72.19383322,27.80616678
32,1024,38082430,32447740,5634690,26744159,82.422255,17.577745,3.543214758,38082430,27486662,6154339,16.160573,10595768,72.17675448,27.82324552
32,2048,38082430,32397633,5684797,26743030,82.546247,17.453753,3.542983608,38082430,27485614,6153752,16.159032,10596816,72.17400255,27.82599745
32,8192,38082430,31867374,6215056,26742857,83.919237,16.080763,3.542983908,38082430,27485422,6153753,16.159034,10597008,72.17349838,27.82650162
32,32768,38082430,31638332,6444098,26587847,84.036816,15.963184,3.542995458,38082430,27330405,6153782,16.159111,10752025,71.7664419,28.2335581
64,16,38082430,33562256,4520174,29662680,88.381067,11.618933,3.470463108,38082430,30394800,5969635,15.675562,7687630,79.81318419,20.18681581
64,32,38082430,32854477,5227953,28973975,88.188818,11.811182,3.221214708,38082430,29709038,5336836,14.013906,8373392,78.01245351,21.98754649
64,64,38082430,33067909,5014521,28660574,86.671867,13.328133,3.081857208,38082430,29402783,4983031,13.084856,8679647,77.20826376,22.79173624
64,128,38082430,32825673,5256757,28479826,86.760829,13.239171,2.966460258,38082430,29222517,4690058,12.315543,8859913,76.73490636,23.26509364
64,256,38082430,32690662,5391768,28451250,87.031734,12.968266,2.954325558,38082430,29193912,4659250,12.234645,8888518,76.65979298,23.34020702
64,512,38082430,32020734,6061696,28438716,88.813442,11.186558,2.950272108,38082430,29181258,4648959,12.207622,8901172,76.62656506,23.37343494
64,1024,38082430,31975662,6106768,28431755,88.916861,11.083139,2.951620308,38082430,29174258,4652382,12.21661,8908172,76.60818388,23.39181612
64,2048,38082430,31912590,6169840,28429103,89.084286,10.915714,2.949557208,38082430,29171687,4647144,12.202856,8910743,76.60143273,23.39856727
64,8192,38082430,31381758,6700672,28428856,90.590387,9.409613,2.949565008,38082430,29171421,4647164,12.202908,8911009,76.60073425,23.39926575
64,32768,38082430,31170127,6912303,28243946,90.612226,9.387774,2.949581958,38082430,28986504,4647207,12.203021,9095926,76.11516387,23.88483613
128,16,38082430,33380604,4701826,30976486,92.797859,7.202141,3.148142808,38082430,31705608,5151319,13.52676,6376822,83.25521244,16.74478756
128,32,38082430,32652378,5430052,30235975,92.599611,7.400389,2.892977958,38082430,30969778,4503499,11.825661,7112652,81.32300906,18.67699094
128,64,38082430,32873131,5209299,29921176,91.020159,8.979841,2.743100208,38082430,30663383,4122985,10.826476,7419047,80.51845168,19.48154832
128,128,38082430,32560891,5521539,29625039,90.983502,9.016498,2.609406258,38082430,30367729,3783559,9.935183,7714701,79.74209892,20.25790108
128,256,38082430,32489572,5592858,29547827,90.945572,9.054428,2.569588608,38082430,30290488,3682469,9.669732,7791942,79.5392731,20.4607269
128,512,38082430,31815428,6267002,29532547,92.82461,7.17539,2.565643458,38082430,30275089,3672453,9.643431,7807341,79.49883713,20.50116287
128,1024,38082430,31768962,6313468,29525495,92.93818,7.06182,2.565834558,38082430,30267998,3672938,9.644705,7814432,79.48021699,20.51978301
128,2048,38082430,31698715,6383715,29520873,93.129557,6.870443,2.561813058,38082430,30263457,3662728,9.617895,7818973,79.46829286,20.53170714
128,8192,38082430,31166309,6916121,29520592,94.719564,5.280436,2.561835408,38082430,30263157,3662785,9.618044,7819273,79.46750509,20.53249491
128,32768,38082430,30955053,7127377,29328957,94.746913,5.253087,2.561854008,38082430,30071515,3662832,9.618168,8010915,78.96427565,21.03572435
256,16,38082430,32991059,5091371,31930424,96.785083,3.214917,2.871144258,38082430,32650137,4448067,11.680103,5432293,85.73543495,14.26456505
256,32,38082430,32321224,5761206,31246965,96.676305,3.323695,2.593261758,38082430,31980640,3742571,9.827553,6101790,83.97741426,16.02258574
256,64,38082430,32494651,5587779,30920290,95.155015,4.844985,2.441479908,38082430,31661690,3357223,8.815674,6420740,83.13988892,16.86011108
256,128,38082430,32172824,5909606,30610258,95.143212,4.856788,2.302587558,38082430,31352948,3004599,7.889725,6729482,82.3291686,17.6708314
256,256,38082430,32094791,5987639,30525829,95.111475,4.888525,2.264213208,38082430,31268490,2907173,7.633896,6813940,82.10739178,17.89260822
256,512,38082430,31534067,6548363,30481409,96.661839,3.338161,2.237828508,38082430,31223951,2840187,7.457998,6858479,81.99043758,18.00956242
256,1024,38082430,31486605,6595825,30473481,96.782365,3.217635,2.237823858,38082430,31215984,2840175,7.457967,6866446,81.96951718,18.03048282
256,2048,38082430,31414983,6667447,30468221,96.986272,3.013728,2.233767558,38082430,31210805,2829877,7.430925,6871625,81.95591773,18.04408227
256,8192,38082430,30880893,7201537,30467792,98.662276,1.337724,2.233760208,38082430,31210357,2829858,7.430876,6872073,81.95474133,18.04525867
256,32768,38082430,30669637,7412793,30276153,98.717024,1.282976,2.233780308,38082430,31018711,2829909,7.43101,7063719,81.45150139,18.54849861
512,16,38082430,32895962,5186468,32009231,97.304438,2.695562,2.853980358,38082430,32728907,4404491,11.565677,5353523,85.94227574,14.05772426
512,32,38082430,32254945,5827485,31360665,97.227464,2.772536,2.571875958,38082430,32094340,3688276,9.684981,5988090,84.27597714,15.72402286
512,64,38082430,32426242,5656188,31034081,95.706684,4.293316,2.418675408,38082430,31775481,3299326,8.663644,6306949,83.43869076,16.56130924
512,128,38082430,32091972,5990458,30714079,95.706425,4.293575,2.278162458,38082430,31456769,2942588,7.726891,6625661,82.60179038,17.39820962
512,256,38082430,31998610,6083820,30617092,95.682569,4.317431,2.240784258,38082430,31359753,2847691,7.477703,6722677,82.34703773,17.65296227
512,512,38082430,31440700,6641730,30571187,97.234435,2.765565,2.206130508,38082430,31313729,2759711,7.246678,6768701,82.2261841,17.7738159
512,1024,38082430,31444693,6637737,30581584,97.255152,2.744848,2.201617308,38082430,31324087,2748253,7.21659,6758343,82.25338299,17.74661701
512,2048,38082430,31373224,6709206,30576305,97.459875,2.540125,2.197625358,38082430,31318889,2738118,7.189977,6763541,82.23973365,17.76026635
512,8192,38082430,30837666,7244764,30575818,99.150883,0.849117,2.197611558,38082430,31318383,2738083,7.189885,6764047,82.23840495,17.76159505
512,32768,38082430,30626410,7456020,30371296,99.167013,0.832987,2.197632108,38082430,31113854,2738135,7.190022,6968576,81.70133576,18.29866424
1024,16,38082430,32771212,5311218,32143379,98.084194,1.915806,2.830057608,38082430,32863055,4343755,11.406192,5219375,86.29453268,13.70546732
1024,32,38082430,32155734,5926696,31512473,97.999545,2.000455,2.545475958,38082430,32246148,3621251,9.508981,5836282,84.67460716,15.32539284
1024,64,38082430,32365354,5717076,31224255,96.474319,3.525681,2.384924808,38082430,31965655,3213639,8.43864,6116775,83.9380654,16.0619346
