BTBEntries,localPred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
1024.0,8192.0,18439603.0,11931112.0,6508491.0,11930704.0,99.99658,0.00342,2.2896449420000002,18439603.0,13142106.0,109007.0,0.591157,5297497.0,71.27108973007716,28.728910269922842
512.0,32768.0,18439603.0,11931070.0,6508533.0,11930673.0,99.996673,0.003327,2.289671792,18439603.0,13142072.0,109040.0,0.591336,5297531.0,71.27090534432872,28.729094655671272
16.0,32.0,18439603.0,17227399.0,1212204.0,6322697.0,36.701402,63.298598,7.484062291999999,18439603.0,7534223.0,6494540.0,35.220606,10905380.0,40.85892196269085,59.14107803730916
64.0,8192.0,18439603.0,11931193.0,6508410.0,11929088.0,99.982357,0.017643,2.291223092,18439603.0,13140490.0,110947.0,0.601678,5299113.0,71.26232598391626,28.73767401608375
2048.0,32768.0,18439603.0,11931069.0,6508534.0,11931048.0,99.999824,0.000176,2.2889828420000002,18439603.0,13142447.0,108193.0,0.586743,5297156.0,71.27293901067175,28.72706098932824
2048.0,32.0,18439603.0,14826666.0,3612937.0,11191096.0,75.479518,24.520482,2.826276542,18439603.0,12402619.0,768692.0,4.168701,6036984.0,67.26077020204828,32.73922979795172
32768.0,2048.0,18439603.0,11931672.0,6507931.0,11931127.0,99.995432,0.004568,2.288930642,18439603.0,13142537.0,108129.0,0.586395,5297066.0,71.27342709059408,28.726572909405913
64.0,32768.0,18439603.0,11931151.0,6508452.0,11929084.0,99.982676,0.017324,2.291224742,18439603.0,13140483.0,110949.0,0.601689,5299120.0,71.26228802214452,28.73771197785549
1024.0,2048.0,18439603.0,11931674.0,6507929.0,11930741.0,99.99218,0.00782,2.289626192,18439603.0,13142151.0,108984.0,0.591032,5297452.0,71.27133377003832,28.728666229961675
64.0,64.0,18439603.0,17227141.0,1212462.0,12378069.0,71.852137,28.147863,2.577429092,18439603.0,13589588.0,462782.0,2.509718,4850015.0,73.6978339501127,26.302166049887298
32768.0,1024.0,18439603.0,13142617.0,5296986.0,11931165.0,90.782262,9.217738,2.288906342,18439603.0,13142592.0,108099.0,0.586233,5297011.0,71.27372536165774,28.726274638342268
16.0,32768.0,18439603.0,11931159.0,6508444.0,5873910.0,49.23168,50.76832,7.197900242000001,18439603.0,7085309.0,6142759.0,33.312859,11354294.0,38.424411848780046,61.57558815121996
128.0,1024.0,18439603.0,13142703.0,5296900.0,11929751.0,90.770909,9.229091,2.290433942,18439603.0,13141178.0,109977.0,0.596417,5298425.0,71.26605708376694,28.73394291623307
128.0,128.0,18439603.0,14828370.0,3611233.0,11190930.0,75.469725,24.530275,2.828710442,18439603.0,12402428.0,771684.0,4.184927,6037175.0,67.25973438799089,32.740265612009104
128.0,32768.0,18439603.0,11931148.0,6508455.0,11929690.0,99.98778,0.01222,2.2904690420000002,18439603.0,13141089.0,110020.0,0.596651,5298514.0,71.26557442695486,28.734425573045147
32.0,8192.0,18439603.0,11931201.0,6508402.0,7097115.0,59.48366,40.51634,6.202827392,18439603.0,8308517.0,4919509.0,26.67904,10131086.0,45.05800368912497,54.94199631087502
16.0,2048.0,18439603.0,13142656.0,5296947.0,5873918.0,44.693538,55.306462,7.197893792,18439603.0,7085328.0,6142751.0,33.312816,11354275.0,38.42451488787476,61.57548511212525
8192.0,8192.0,18439603.0,11931111.0,6508492.0,11931075.0,99.999698,0.000302,2.288957492,18439603.0,13142477.0,108162.0,0.586574,5297126.0,71.27310170397921,28.7268982960208
8192.0,2048.0,18439603.0,11931672.0,6507931.0,11931123.0,99.995399,0.004601,2.288930642,18439603.0,13142533.0,108129.0,0.586395,5297070.0,71.2734053981531,28.726594601846905
512.0,128.0,18439603.0,14825942.0,3613661.0,11190343.0,75.478125,24.521875,2.8271673920000002,18439603.0,12401838.0,769787.0,4.17464,6037765.0,67.25653475294452,32.74346524705548
8192.0,256.0,18439603.0,15565909.0,2873694.0,11931246.0,76.649851,23.350149,2.288918492,18439603.0,13142730.0,108114.0,0.586314,5296873.0,71.27447375087198,28.72552624912803
128.0,16.0,18439603.0,17227520.0,1212083.0,13589574.0,78.882938,21.117062,3.561411242,18439603.0,14801104.0,1672398.0,9.069599,3638499.0,80.26801878543698,19.731981214563024
512.0,2048.0,18439603.0,11931674.0,6507929.0,11930720.0,99.992004,0.007996,2.289644192,18439603.0,13142130.0,109006.0,0.591152,5297473.0,71.27121988472311,28.728780115276887
128.0,2048.0,18439603.0,11931752.0,6507851.0,11929722.0,99.982987,0.017013,2.290452692,18439603.0,13141132.0,110000.0,0.596542,5298471.0,71.26580762069553,28.73419237930448
1024.0,64.0,18439603.0,14826480.0,3613123.0,11190613.0,75.477207,24.522793,2.826934742,18439603.0,12402128.0,769501.0,4.173089,6037475.0,67.25810745491646,32.74189254508354
256.0,64.0,18439603.0,14826523.0,3613080.0,11190444.0,75.475848,24.524152,2.827079492,18439603.0,12401959.0,769679.0,4.174054,6037644.0,67.25719094928454,32.74280905071546
256.0,128.0,18439603.0,14825947.0,3613656.0,11190171.0,75.476939,24.523061,2.827302392,18439603.0,12401666.0,769953.0,4.17554,6037937.0,67.25560197798185,32.74439802201815
2048.0,128.0,18439603.0,14825922.0,3613681.0,11190726.0,75.48081,24.51919,2.8267605920000003,18439603.0,12402221.0,769287.0,4.171928,6037382.0,67.25861180416953,32.74138819583046
512.0,16.0,18439603.0,17227340.0,1212263.0,13591214.0,78.893282,21.106718,3.560974442,18439603.0,14802744.0,1671861.0,9.066687,3636859.0,80.27691268624383,19.723087313756157
16.0,64.0,18439603.0,17227348.0,1212255.0,6322681.0,36.701418,63.298582,7.4840534420000004,18439603.0,7534200.0,6494529.0,35.220547,10905403.0,40.858797231155144,59.141202768844856
32.0,16.0,18439603.0,17227558.0,1212045.0,7546095.0,43.802465,56.197535,6.489143192,18439603.0,8757625.0,5271479.0,28.587812,9681978.0,47.49356588642391,52.50643411357609
1024.0,1024.0,18439603.0,13142619.0,5296984.0,11930779.0,90.779311,9.220689,2.289600992,18439603.0,13142206.0,108953.0,0.590864,5297397.0,71.27163204110197,28.728367958898033
32.0,32768.0,18439603.0,11931159.0,6508444.0,7097108.0,59.48381,40.51619,6.2028444920000005,18439603.0,8308507.0,4919530.0,26.679154,10131096.0,45.05794945802249,54.94205054197751
64.0,256.0,18439603.0,16776979.0,1662624.0,11929220.0,71.104697,28.895303,2.291157992,18439603.0,13140708.0,110867.0,0.601244,5298895.0,71.26350822195033,28.73649177804967
16.0,16.0,18439603.0,17227558.0,1212045.0,6322732.0,36.701267,63.298733,7.484073691999999,18439603.0,7534262.0,6494554.0,35.220682,10905341.0,40.859133463990524,59.14086653600948
32768.0,16.0,18439603.0,17227272.0,1212331.0,13591700.0,78.896415,21.103585,3.5603585420000003,18439603.0,14803230.0,1671104.0,9.062581,3636373.0,80.2795483178244,19.72045168217559
32768.0,32.0,18439603.0,14826616.0,3612987.0,11191200.0,75.480474,24.519526,2.826352292,18439603.0,12402723.0,768785.0,4.169206,6036880.0,67.26133420551407,32.738665794485925
32.0,256.0,18439603.0,16777163.0,1662440.0,7097171.0,42.302569,57.697431,6.202825742,18439603.0,8308659.0,4919507.0,26.679029,10130944.0,45.058773770780206,54.941226229219794
1024.0,512.0,18439603.0,14354747.0,4084856.0,11930850.0,83.114318,16.885682,2.289562742,18439603.0,13142299.0,108906.0,0.590609,5297304.0,71.27213639035504,28.72786360964496
8192.0,1024.0,18439603.0,13142617.0,5296986.0,11931161.0,90.782232,9.217768,2.288906342,18439603.0,13142588.0,108099.0,0.586233,5297015.0,71.27370366921674,28.726296330783263
512.0,512.0,18439603.0,14354747.0,4084856.0,11930824.0,83.114136,16.885864,2.289584792,18439603.0,13142273.0,108933.0,0.590756,5297330.0,71.2719953894886,28.72800461051141
256.0,16.0,18439603.0,17227340.0,1212263.0,13591028.0,78.892203,21.107797,3.5611151420000002,18439603.0,14802558.0,1672034.0,9.067625,3637045.0,80.27590398773769,19.724096012262304
128.0,256.0,18439603.0,15566326.0,2873277.0,11929850.0,76.638829,23.361171,2.290393292,18439603.0,13141338.0,109927.0,0.596146,5298265.0,71.26692478140663,28.733075218593374
