BTBEntries,localPred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,97499524,88732401,8767123,28264405,31.853533,68.146467,8.024680486,97499524,33684100,38787323,39.782064,63815424,34.54796354,65.45203646
16,32,97499524,86587270,10912254,26342807,30.423418,69.576582,7.751137486,97499524,31757564,37009302,37.958444,65741960,32.57201953,67.42798047
16,64,97499524,82321703,15177821,25613592,31.114021,68.885979,7.707559636,97499524,31032205,36726048,37.667925,66467319,31.82805795,68.17194205
16,128,97499524,80806657,16692867,25225665,31.21731,68.78269,7.647266086,97499524,30645343,36334141,37.265968,66854181,31.43127447,68.56872553
16,256,97499524,79830846,17668678,25222601,31.595057,68.404943,7.646955586,97499524,30642261,36332123,37.263898,66857263,31.42811343,68.57188657
16,512,97499524,76099072,21400452,25037632,32.901363,67.098637,7.674420736,97499524,30457260,36510646,37.446999,67042264,31.23836789,68.76163211
16,1024,97499524,70579689,26919835,25037496,35.474081,64.525919,7.674411436,97499524,30365672,36510585,37.446937,67133852,31.14443102,68.85556898
16,2048,97499524,63049232,34450292,25037199,39.710553,60.289447,7.674406186,97499524,30365352,36510551,37.446902,67134172,31.14410282,68.85589718
16,8192,97499524,60110648,37388876,25210646,41.9404,58.0596,7.647286486,97499524,30629199,36334274,37.266104,66870325,31.41471645,68.58528355
16,32768,97499524,58085217,39414307,25210644,43.402858,56.597142,7.647286786,97499524,30630174,36334276,37.266106,66869350,31.41571645,68.58428355
32,16,97499524,79189428,18310096,30428116,38.424467,61.575533,7.416040186,97499524,35824358,34831180,35.724462,61675166,36.74311066,63.25688934
32,32,97499524,79267372,18232152,30462621,38.430214,61.569786,7.333688986,97499524,35874428,34295900,35.175454,61625096,36.79446476,63.20553524
32,64,97499524,79192607,18306917,31750092,40.092242,59.907758,6.918064636,97499524,37164415,31594355,32.404625,60335109,38.11753481,61.88246519
32,128,97499524,77771437,19728087,31339187,40.296526,59.703474,6.856224436,97499524,36754519,31192396,31.992357,60745005,37.6971266,62.3028734
32,256,97499524,77021097,20478427,31359049,40.714882,59.285118,6.854512936,97499524,36774314,31181271,31.980947,60725210,37.71742927,62.28257073
32,512,97499524,73267734,24231790,31160325,42.529396,57.470604,6.880978336,97499524,36575559,31353295,32.157383,60923965,37.51357699,62.48642301
32,1024,97499524,67794204,29705320,31158464,45.960366,54.039634,6.881863336,97499524,36482246,31359048,32.163283,61017278,37.41787088,62.58212912
32,2048,97499524,60261088,37238436,31131949,51.661777,48.338223,6.882962536,97499524,36455708,31366193,32.170611,61043816,37.39065229,62.60934771
32,8192,97499524,57322504,40177020,31311368,54.623169,45.376831,6.854110186,97499524,36725527,31178653,31.978262,60773997,37.66739107,62.33260893
32,32768,97499524,55288478,42211046,31312167,56.634163,43.365837,6.852510136,97499524,36731697,31168253,31.967595,60767827,37.67371931,62.32628069
64,16,97499524,77620241,19879283,41759409,53.799638,46.200362,5.739128686,97499524,47155651,23931309,24.545052,50343873,48.36500638,51.63499362
64,32,97499524,77285720,20213804,41715499,53.975688,46.024312,5.640218986,97499524,47126510,23288399,23.885654,50373014,48.33511803,51.66488197
64,64,97499524,77407349,20092175,43196694,55.804384,44.195616,5.247202336,97499524,48610977,20733803,21.265543,48888547,49.85765572,50.14234428
64,128,97499524,77261925,20237599,42930052,55.564305,44.435695,5.169035986,97499524,48345348,20225724,20.744434,49154176,49.58521439,50.41478561
64,256,97499524,76435819,21063705,42853549,56.064748,43.935252,5.181138136,97499524,48268759,20304388,20.825115,49230765,49.50666118,50.49333882
64,512,97499524,72595226,24904298,42668208,58.775501,41.224499,5.186925886,97499524,48083388,20342008,20.8637,49416136,49.31653615,50.68346385
64,1024,97499524,67124117,30375407,42576249,63.429138,36.570862,5.189165836,97499524,47899977,20356568,20.878633,49599547,49.12842139,50.87157861
64,2048,97499524,59590761,37908763,42549689,71.403164,28.596836,5.190264736,97499524,47873394,20363711,20.885959,49626130,49.10115664,50.89884336
64,8192,97499524,56670763,40828761,42818941,75.557375,24.442625,5.159906836,97499524,48233046,20166385,20.683573,49266478,49.47003228,50.52996772
64,32768,97499524,54636664,42862860,42818237,78.369055,21.630945,5.159367436,97499524,48237767,20162879,20.679977,49261757,49.47487436,50.52512564
128,16,97499524,76589359,20910165,46093156,60.182193,39.817807,5.225876986,97499524,51485843,20595189,21.123374,46013681,52.80625062,47.19374938
128,32,97499524,76747963,20751561,46527544,60.623816,39.376184,5.104567636,97499524,51763842,19806682,20.314645,45735682,53.09137919,46.90862081
