BTBEntries,localPred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,11572148,11547033,25115,10189322,88.241906,11.758094,4.056591078,11572148,10213359,2357947,20.376053,1358789,88.25810904,11.74189096
16,32,11572148,11546573,25575,10188476,88.238095,11.761905,4.056487428,11572148,10212925,2357867,20.375362,1359223,88.25435865,11.74564135
16,64,11572148,11546446,25702,10188410,88.238493,11.761507,4.056409578,11572148,10212850,2357807,20.374843,1359298,88.25371055,11.74628945
16,128,11572148,11535671,36477,10178995,88.239297,11.760703,4.045280328,11572148,10203422,2349221,20.300648,1368726,88.17223907,11.82776093
16,256,11572148,11379470,192678,10025019,88.097416,11.902584,4.159939578,11572148,10049432,2437678,21.065043,1522716,86.84154402,13.15845598
16,512,11572148,11348084,224064,10024869,88.33975,11.66025,4.159775028,11572148,10049252,2437551,21.063946,1522896,86.83998857,13.16001143
16,1024,11572148,11322390,249758,10024850,88.540052,11.459948,4.159784028,11572148,10049187,2437558,21.064006,1522961,86.83942687,13.16057313
16,2048,11572148,11319701,252447,10024829,88.560899,11.439101,4.159797078,11572148,10049149,2437568,21.064093,1522999,86.8390985,13.1609015
16,8192,11572148,11314440,257708,10024815,88.601955,11.398045,4.159804878,11572148,10049123,2437574,21.064145,1523025,86.83887382,13.16112618
16,32768,11572148,11307839,264309,10024809,88.653623,11.346377,4.159813878,11572148,10049114,2437581,21.064205,1523034,86.83879605,13.16120395
32,16,11572148,11547032,25116,10219193,88.500603,11.499397,4.022096178,11572148,10243230,2331335,20.146087,1328918,88.51623743,11.48376257
32,32,11572148,11544527,27621,10218348,88.512487,11.487513,4.021991178,11572148,10242797,2331254,20.145387,1329351,88.51249569,11.48750431
32,64,11572148,11543993,28155,10215845,88.494899,11.505101,4.020854328,11572148,10240285,2330377,20.137808,1331863,88.4907884,11.5092116
32,128,11572148,11533218,38930,10206430,88.495943,11.504057,4.009725078,11572148,10230857,2321791,20.063613,1341291,88.40931692,11.59068308
32,256,11572148,11377017,195131,10052444,88.357467,11.642533,4.124374128,11572148,10076857,2410240,20.82794,1495291,87.07853546,12.92146454
32,512,11572148,11345631,226517,10052286,88.600502,11.399498,4.124223678,11572148,10076669,2410124,20.826937,1495479,87.07691087,12.92308913
32,1024,11572148,11319937,252211,10052267,88.801439,11.198561,4.124240628,11572148,10076604,2410137,20.82705,1495544,87.07634918,12.92365082
32,2048,11572148,11317246,254902,10052237,88.822289,11.177711,4.124261328,11572148,10076557,2410153,20.827188,1495591,87.07594303,12.92405697
32,8192,11572148,11314440,257708,10052220,88.844167,11.155833,4.124271678,11572148,10076528,2410161,20.827257,1495620,87.07569243,12.92430757
32,32768,11572148,11307839,264309,10052213,88.895969,11.104031,4.124280678,11572148,10076518,2410168,20.827317,1495630,87.07560602,12.92439398
64,16,11572148,11545396,26752,10260691,88.872577,11.127423,3.976368228,11572148,10284728,2296057,19.841234,1287420,88.87483983,11.12516017
64,32,11572148,11541251,30897,10256587,88.868936,11.131064,3.978365778,11572148,10281035,2297598,19.854551,1291113,88.842927,11.157073
64,64,11572148,11537453,34695,10253270,88.869441,11.130559,3.978284028,11572148,10277708,2297535,19.854006,1294440,88.81417694,11.18582306
64,128,11572148,11527420,44728,10245411,88.878613,11.121387,3.962860428,11572148,10269821,2285636,19.751182,1302327,88.74602191,11.25397809
64,256,11572148,10952396,619752,9980170,91.123166,8.876834,3.935415678,11572148,10004583,2264463,19.568217,1567565,86.45398417,13.54601583
64,512,11572148,11339830,232318,10091258,88.9895,11.0105,4.077346128,11572148,10115641,2373959,20.51442,1456507,87.413685,12.586315
64,1024,11572148,11315367,256781,10090403,89.174333,10.825667,4.078436178,11572148,10114740,2374800,20.521687,1457408,87.40589906,12.59410094
64,2048,11572148,11312754,259394,10090370,89.194638,10.805362,4.078458228,11572148,10114690,2374817,20.521834,1457458,87.40546699,12.59453301
64,8192,11572148,11309948,262200,10089528,89.209323,10.790677,4.078478928,11572148,10113836,2374833,20.521972,1458312,87.3980872,12.6019128
64,32768,11572148,11303347,268801,10089517,89.261322,10.738678,4.078494528,11572148,10113822,2374845,20.522076,1458326,87.39796622,12.60203378
128,16,11572148,10557704,1014444,10446323,98.945026,1.054974,3.892430478,11572148,10470360,2231301,19.281649,1101788,90.47896726,9.521032742
128,32,11572148,10556003,1016145,10443845,98.937496,1.062504,3.895471428,11572148,10468294,2233647,19.301922,1103854,90.46111405,9.538885953
128,64,11572148,10551268,1020880,10440911,98.954088,1.045912,3.892789578,11572148,10465322,2231578,19.284043,1106826,90.43543169,9.564568307
128,128,11572148,10539731,1032417,10431025,98.968607,1.031393,3.875785878,11572148,10455421,2218460,19.170685,1116727,90.34987282,9.650127185
128,256,11572148,10055885,1516263,9948648,98.93359,1.06641,3.802513278,11572148,9973044,2161932,18.682201,1599104,86.18144186,13.81855814
128,512,11572148,10025833,1546315,9948614,99.2298,0.7702,3.803594328,11572148,9972981,2162766,18.689408,1599167,86.18089744,13.81910256
128,1024,11572148,10000547,1571601,9946936,99.463919,0.536081,3.804692328,11572148,9971257,2163613,18.696728,1600891,86.16599961,13.83400039
128,2048,11572148,9997878,1574270,9946860,99.489712,0.510288,3.804687078,11572148,9971180,2163609,18.696693,1600968,86.16533421,13.83466579
128,8192,11572148,9995144,1577004,9946010,99.508421,0.491579,3.804716928,11572148,9970318,2163632,18.696892,1601830,86.15788529,13.84211471
128,32768,11572148,9988545,1583603,9945998,99.574042,0.425958,3.804732528,11572148,9970303,2163644,18.696996,1601845,86.15775567,13.84224433
256,16,11572148,10557704,1014444,10471226,99.180901,0.819099,3.864209328,11572148,10495263,2209529,19.093508,1076885,90.69416499,9.30583501
256,32,11572148,10556001,1016147,10469145,99.177188,0.822812,3.866747328,11572148,10493592,2211487,19.110428,1078556,90.67972515,9.320274853
256,64,11572148,10551228,1020920,10466208,99.194217,0.805783,3.864064128,11572148,10490617,2209417,19.09254,1081531,90.65401687,9.345983131
256,128,11572148,10539719,1032429,10455516,99.201089,0.798911,3.848102478,11572148,10479912,2197103,18.986129,1092236,90.56151027,9.438489726
256,256,11572148,10055874,1516274,9973127,99.177128,0.822872,3.774840378,11572148,9997523,2140583,18.497715,1574625,86.39297562,13.60702438
256,512,11572148,10025015,1547133,9971442,99.465607,0.534393,3.775922778,11572148,9995809,2141418,18.504931,1576339,86.37816419,13.62183581
256,1024,11572148,9999320,1572828,9969764,99.70442,0.29558,3.777021978,11572148,9994085,2142266,18.512259,1578063,86.36326635,13.63673365
256,2048,11572148,9997060,1575088,9969277,99.722088,0.277912,3.776489178,11572148,9993597,2141855,18.508707,1578551,86.35904933,13.64095067
256,8192,11572148,9994324,1577824,9968425,99.740863,0.259137,3.776530728,11572148,9992733,2141887,18.508984,1579415,86.35158313,13.64841687
256,32768,11572148,9987725,1584423,9968414,99.806653,0.193347,3.776543628,11572148,9992719,2141897,18.50907,1579429,86.35146215,13.64853785
512,16,11572148,10557694,1014454,10484790,99.30947,0.69053,3.850885578,11572148,10508827,2199250,19.004683,1063321,90.81137746,9.188622544
512,32,11572148,10554373,1017775,10481498,99.309528,0.690472,3.852875178,11572148,10505937,2200785,19.017947,1066211,90.7864037,9.2135963
512,64,11572148,10549583,1022565,10478547,99.326646,0.673354,3.850193328,11572148,10502955,2198716,19.000068,1069193,90.76063493,9.239365069
512,128,11572148,10537448,1034700,10465810,99.320158,0.679842,3.835817028,11572148,10490205,2187625,18.904226,1081943,90.6504566,9.349543404
512,256,11572148,10053819,1518329,9983411,99.299689,0.700311,3.762567828,11572148,10007806,2131115,18.415898,1564342,86.48183552,13.51816448
512,512,11572148,10022952,1549196,9980897,99.580413,0.419587,3.764729928,11572148,10005263,2132783,18.430312,1566885,86.45986035,13.54013965
512,1024,11572148,9997678,1574470,9978804,99.811216,0.188784,3.765301578,11572148,10003124,2133224,18.434123,1569024,86.44137631,13.55862369
512,2048,11572148,9995418,1576730,9978316,99.828902,0.171098,3.764761128,11572148,10002635,2132807,18.43052,1569513,86.43715065,13.56284935
512,8192,11572148,9992681,1579467,9977460,99.847679,0.152321,3.764797428,11572148,10001768,2132835,18.430762,1570380,86.42965852,13.57034148
512,32768,11572148,9986082,1586066,9977447,99.91353,0.08647,3.764815428,11572148,10001752,2132849,18.430882,1570396,86.42952026,13.57047974
1024,16,11572148,10557680,1014468,10486030,99.321347,0.678653,3.847162728,11572148,10510067,2196378,18.979864,1062081,90.82209284,9.177907161
1024,32,11572148,10554357,1017791,10482736,99.321408,0.678592,3.848623578,11572148,10507175,2197505,18.989603,1064973,90.7971018,9.2028982
1024,64,11572148,10549567,1022581,10479785,99.338532,0.661468,3.845941728,11572148,10504193,2195436,18.971724,1067955,90.77133303,9.228666968
1024,128,11572148,10537432,1034716,10467052,99.332095,0.667905,3.832620528,11572148,10491447,2185159,18.882916,1080701,90.66118926,9.338810738
1024,256,11572148,10053819,1518329,9984668,99.312192,0.687808,3.759374028,11572148,10009063,2128651,18.394606,1563085,86.49269781,13.50730219
1024,512,11572148,10022912,1549236,9982114,99.592953,0.407047,3.761526978,11572148,10006480,2130312,18.408959,1565668,86.47037698,13.52962302
1024,1024,11572148,9997637,1574511,9980020,99.823788,0.176212,3.761039628,11572148,10004340,2129936,18.40571,1567808,86.4518843,13.5481157
1024,2048,11572148,9995418,1576730,9979548,99.841227,0.158773,3.760521078,11572148,10003867,2129536,18.402253,1568281,86.4477969,13.5522031
1024,8192,11572148,9992681,1579467,9978692,99.860008,0.139992,3.760557378,11572148,10003000,2129564,18.402495,1569148,86.44030477,13.55969523
1024,32768,11572148,9986082,1586066,9978679,99.925867,0.074133,3.760575528,11572148,10002984,2129578,18.402616,1569164,86.44016651,13.55983349
2048,16,11572148,10557680,1014468,10487691,99.33708,0.66292,3.845009778,11572148,10511728,2194717,18.965511,1060420,90.83644627,9.163553733
2048,32,11572148,10554357,1017791,10484397,99.337146,0.662854,3.846461478,11572148,10508836,2195837,18.975189,1063312,90.81145523,9.188544771
2048,64,11572148,10549567,1022581,10481445,99.354267,0.645733,3.843780978,11572148,10505853,2193769,18.957319,1066295,90.78567782,9.214322181
2048,256,11572148,10053819,1518329,9986329,99.328713,0.671287,3.757211928,11572148,10010724,2126983,18.380192,1561424,86.50705124,13.49294876
2048,512,11572148,10022912,1549236,9983775,99.609525,0.390475,3.759366228,11572148,10008141,2128645,18.394554,1564007,86.48473041,13.51526959
2048,1024,11572148,9997637,1574511,9981681,99.840402,0.159598,3.758878878,11572148,10006001,2128269,18.391305,1566147,86.46623773,13.53376227
2048,2048,11572148,9995418,1576730,9981209,99.857845,0.142155,3.758351328,11572148,10005528,2127862,18.387788,1566620,86.46215033,13.53784967
2048,8192,11572148,9992681,1579467,9980346,99.87656,0.12344,3.758397978,11572148,10004654,2127898,18.388099,1567494,86.45459771,13.54540229
2048,32768,11572148,9986082,1586066,9980333,99.94243,0.05757,3.758416128,11572148,10004638,2127912,18.38822,1567510,86.45445945,13.54554055
8192,16,11572148,10557657,1014491,10493440,99.39175,0.60825,3.839701728,11572148,10517477,2190622,18.930124,1054671,90.88612589,9.113874105
8192,32,11572148,10554342,1017806,10490148,99.391776,0.608224,3.841152228,11572148,10514587,2191741,18.939794,1057561,90.86115214,9.138847861
8192,64,11572148,10548334,1023814,10485162,99.401119,0.598881,3.840053028,11572148,10509570,2190893,18.932466,1062578,90.81779804,9.182201956
8192,128,11572148,10536203,1035945,10472421,99.39464,0.60536,3.826734378,11572148,10496816,2180618,18.843675,1075332,90.70758514,9.292414857
8192,256,11572148,10052588,1519560,9990851,99.38586,0.61414,3.752422428,11572148,10015246,2123288,18.348262,1556902,86.54612782,13.45387218
8192,512,11572148,10021682,1550466,9988295,99.666852,0.333148,3.754571478,11572148,10012661,2124946,18.362589,1559487,86.52378971,13.47621029
8192,1024,11572148,9996407,1575741,9986200,99.897893,0.102107,3.754084128,11572148,10010520,2124570,18.35934,1561628,86.50528839,13.49471161
8192,2048,11572148,9994191,1577957,9985732,99.915361,0.084639,3.753555228,11572148,10010051,2124162,18.355814,1562097,86.50123555,13.49876445
8192,8192,11572148,9991454,1580694,9984865,99.934054,0.065946,3.753607128,11572148,10009173,2124202,18.35616,1562975,86.49364837,13.50635163
8192,32768,11572148,9984855,1587293,9984850,99.99995,5.00E-05,3.753627828,11572148,10009155,2124218,18.356298,1562993,86.49349282,13.50650718
32768,16,11572148,10557657,1014491,10493441,99.391759,0.608241,3.839700528,11572148,10517478,2190621,18.930116,1054670,90.88613454,9.113865464
32768,32,11572148,10554342,1017806,10490149,99.391786,0.608214,3.841150878,11572148,10514588,2191740,18.939785,1057560,90.86116078,9.13883922
32768,64,11572148,10548334,1023814,10485163,99.401128,0.598872,3.840051678,11572148,10509571,2190892,18.932457,1062577,90.81780669,9.182193314
32768,128,11572148,10536203,1035945,10472421,99.39464,0.60536,3.826734378,11572148,10496816,2180618,18.843675,1075332,90.70758514,9.292414857
32768,256,11572148,10052588,1519560,9990851,99.38586,0.61414,3.752422428,11572148,10015246,2123288,18.348262,1556902,86.54612782,13.45387218
32768,512,11572148,10021682,1550466,9988295,99.666852,0.333148,3.754571478,11572148,10012661,2124946,18.362589,1559487,86.52378971,13.47621029
32768,1024,11572148,9996407,1575741,9986200,99.897893,0.102107,3.754084128,11572148,10010520,2124570,18.35934,1561628,86.50528839,13.49471161
32768,2048,11572148,9994191,1577957,9985732,99.915361,0.084639,3.753555228,11572148,10010051,2124162,18.355814,1562097,86.50123555,13.49876445
32768,8192,11572148,9991454,1580694,9984866,99.934064,0.065936,3.753605778,11572148,10009174,2124201,18.356151,1562974,86.49365701,13.50634299
32768,32768,11572148,9984855,1587293,9984850,99.99995,5.00E-05,3.753627828,11572148,10009155,2124218,18.356298,1562993,86.49349282,13.50650718
