BTBEntries,localPred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
16,16,69585502,65627618,3957884,31769415,48.408606,51.591394,8.123247242,69585502,34549348,26516117,38.105807,35036154,49.65021018,50.34978982
16,32,69585502,64690612,4894890,31166239,48.177375,51.822625,8.064281342,69585502,33927581,26242572,37.712701,35657921,48.75668067,51.24331933
16,64,69585502,64376949,5208553,31089661,48.293157,51.706843,8.047330142,69585502,33869153,26163935,37.599693,35716349,48.6727149,51.3272851
16,128,69585502,64296462,5289040,31005011,48.221955,51.778045,8.043825092,69585502,33800386,26147675,37.576326,35785116,48.57389115,51.42610885
16,256,69585502,63886231,5699271,30900182,48.367514,51.632486,8.035280642,69585502,33698783,26108037,37.519363,35886719,48.42787942,51.57212058
16,512,69585502,63483260,6102242,30820852,48.549574,51.450426,8.018267792,69585502,33615854,26029114,37.405944,35969648,48.30870373,51.69129627
16,1024,69585502,62453345,7132157,30672018,49.11189,50.88811,8.001089192,69585502,33469092,25949422,37.29142,36116410,48.09779485,51.90220515
16,2048,69585502,61014649,8570853,30609525,50.167502,49.832498,7.995096842,69585502,33414620,25921623,37.251471,36170882,48.01951418,51.98048582
16,8192,69585502,57558322,12027180,30521545,53.027163,46.972837,7.984503092,69585502,33326822,25872478,37.180846,36258680,47.89334135,52.10665865
16,32768,69585502,56471145,13114357,30474451,53.964642,46.035358,7.988306642,69585502,33279712,25890123,37.206203,36305790,47.82564046,52.17435954
32,16,69585502,65125663,4459839,36147660,55.504479,44.495521,7.524738242,69585502,38921607,23739614,34.115747,30663895,55.93350034,44.06649966
32,32,69585502,64162580,5422922,35449531,55.249541,44.750459,7.459540292,69585502,38202232,23437158,33.681094,31383270,54.89970023,45.10029977
32,64,69585502,63723035,5862467,35156997,55.171567,44.828433,7.411869092,69585502,37922983,23216010,33.363286,31662519,54.49839681,45.50160319
32,128,69585502,63281432,6304070,35005341,55.316923,44.683077,7.399077992,69585502,37787482,23156672,33.278012,31798020,54.3036709,45.6963291
32,256,69585502,62868597,6716905,34870012,55.464912,44.535088,7.380542792,69585502,37659424,23070686,33.154444,31926078,54.11964119,45.88035881
32,512,69585502,62567412,7018090,34781162,55.5899,44.4101,7.361793542,69585502,37571210,22983708,33.029449,32014292,53.99287053,46.00712947
32,1024,69585502,61399090,8186412,34614510,56.376259,43.623741,7.335260042,69585502,37411195,22860618,32.852559,32174307,53.76291602,46.23708398
